مشاطهٔ این عروس طناز	مشاطگی اینچنین کند ساز
آن کج‌رو کج‌نهاد کج‌دل	در دایرهٔ کجی‌ش منزل
چون این سخنان راست بشنید	چون بی‌خبران ز راست رنجید
گفتا: «به خدایی خدایی	کز وی نه تهی‌ست هیچ جایی،
کز لیلی اگر درین تک و پوی	خواهید برای قیس یک موی،
یک موی وی و هزار مجنون،	گو دست ز وی بدار، مجنون!
مجنون که بود، که داد خواهد؟	وز لیلی من مراد خواهد؟
جان دادن اوبس است دادش	مردن ز فراق از مرادش
با من دگر این سخن مگویید!	کام دل خویشتن مجویید!»
آنان چو جواب این شنیدند	وآزار عتاب او کشیدند،
نومید به خانه بازگشتند	با قیس، حریف راز گشتند
هر قصه که گفته بود، گفتند	هر گل که شکفته بود، گفتند
امید وصال یار ازو رفت	و آرام دل و قرار ازو رفت
از گریه به خون و خاک می‌خفت	وز سینهٔ دردناک، می‌گفت:
«لیلی جان است و من تن او	یارب به روان روشن او
کن کس که مرا ازو جدا ساخت	کاری به مراد من نپرداخت
در هر نفسی‌ش باد مرگی!	وز زندگی‌اش مباد برگی!
پا میخ شکاف سنگ بادش!	سر در دهن نهنگ بادش!
بادش ناخن جدا ز انگشت!	دستش کوته ز خارش پشت!
جانش چو دلم فگار بادا!	و آواره به هر دیار بادا!»
ناقه ز حریم حی برون راند	وز خاک قبیله دامن افشاند
شد آهوی دشت و کبک وادی	خارا کن کوه نامرادی
خونابه ز کاس لاله خوردی	هم‌کاسگی غزاله کردی
شد باز چنانکه بود و می‌رفت	وین زمزمه می‌سرود و می‌رفت:
«لیلی و سرود عشرت و ناز	مجنون و نفیر شوق پرداز
لیلی و عنان به دست دوران	مجنون و به دشت، یار گوران
لیلی و به این و آن سبک رو	مجنون و به آهوان تگ و دو
لیلی و سکون به کوه و زنان	مجنون و به کوه با گوزنان
لیلی و ترانه گو به هر کس	مجنون و صفیر کوف و کرکس
لیلی و خروش چنگ و خرگاه	مجنون و خراش گرگ و روباه
لیلی و چو مه به قلعه‌داری	مجنون و به غار غم حصاری
آری هر کس برای کاری‌ست	هر شیر سزای مرغزاری‌ست
آن به که به نیک و بد بسازیم	هر کس به نصیب خود بسازیم
