ای ذروه لامکان مکانت 	معراج ملایک آستانت 
ای خوانده حبیب خود خدایت 	ملک و ملک و فلک برایت 
اول علمی کز آفرینش 	افراشت نبود جز ولایت 
ای هفت فلک به رسم در خواست 	حلقه شده بر در سرایت 
تو دیده فطرتی از آن شد 	در پرده عنکبوت جایت 
تو نافه مشکی آفریده 	بی آهوی و بی خطا خدایت 
آراسته سد ره از وجودت 	برخاسته صخره از هوایت 
شد قرص جوت خورش اگر چه 	قرص مه و خورشید شده برایت 
ما را چه مجال نطق باشد 	جایی که خدا کند ثنایت 
با آنکه عطاردست محروم 	از خط بنان بحر زایت 
یک خوشه فلک به توشه دادش 	و آن نیز ز خرمن عطایت 
سکان سراد قات عزت 	محتاج شفاعت و دعایت 
ادریس که بر سما رسیده 	از رهگذر شما رسیده 
در شارع معجزات عیسی 	جان داده و در تو نارسیده 
از ناف زمین نسیم مشکت 	برخاسته تا خطا رسیده 
مرغی که نرفت از آشیانت 	پیداست که تا کجا رسیده 
از تذکره رسالت توست 	یک رقعه به انبیا رسیده 
و ز مملکت ولایت توست 	یک بقعه به اولیا رسیده 
بر خلق شده حطام دنیا 	مقسوم و به تو بلا رسیده 
در منزل قرب تو ملایک 	از شاهره دعا رسیده 
جسته ملکت مقام ادنی 	از سدره گذشته تا رسیده 
رضوان جنان سرای دارت 	جبریل امین امیر بارت 
کرده سر آسمان متوج 	یمن قدم بزرگوارت 
ای پنج ستون خانه شرع 	قایم به وجود چار یارت 
اول به وجود ثانی اثنین 	صدیق که بود یار غارت 
ثانی عمر است آنکه زد خشت 	و افراخت بنای استوارت 
عثمان که از حیای ابرش 	شد تازه و سبز کشتزارت 
باقی است علی ولی عهدت 	او بود وصی حق گزارت 
داری دو گهر که گوش عرش است 	آراسته زان دو گوشوارت 
این گل عرقی است از تو مانده 	بر روی زمین به یادگارت 
عمری بزدیم دست و پایی 	در بحر هوای آشنایی 
چون بر درش آمدیم امروز 	داریم امید مرحبایی 
ای گل چه شود که از تو یابد 	این بلبل بینوا نوایی 
در سفره رحمت تو گردد 	خرم به نواله گدایی 
از کوی نجات نا امیدی 	از راه فتاده مبتلایی 
بیمار و هوا رسیدگانیم 	بخش از شفتین مان شفایی 
درمانده شدیم و هیچ کس نیست 	غیر از تو رجا و ملتجایی
آورده‌ام این ثنا و دارم 	در خواه ز حضرتت دعایی 
ما بر سفریم و بهر زادی 	خواهیم ز درگهت عطایی 
