مغنی ره باستانی بزن	مغانه نوای مغانی بزن
گرش سر نبرد سر تیغ شاه	جهان زود گیرد به گنج و سپاه
سپاه آورد دشمنان را به رنج	سپاهی نگردد مگر گرد گنج
به آزار او شه شتابنده گشت	ز گرمی چو خورشید تابنده گشت
به تدبیر آن شد کزان جان پاک	به تدبیر دشمن برآرد هلاک
چو از آتش خشم شاهنشهی	به دستور دانا رسید آگهی
بسی چید بر خدمت شهریار	بسی چربی آورد با او به کار
که آن زن زنی پارسا گوهرست	جهانجوی را کمترین چاکرست
کمر بستهٔ توست در ملک شام	به گوهر کنیز و به خدمت غلام
بسی گشت چون چاکران گرد من	به چندین هنر گشت شاگرد من
منش دل به دانش برافروختم	نهانی در او چیزی آموختم
که چندان به دست آرد از برگ و ساز	که گردد ز خلق جهانی نیاز
بر او طالعی دیدم آراسته	خبر داده از گنج و از خواسته
جز او هر که این صنعت آرد به کار	جوی نارد از گنج او در شمار
به هشیاری طالع مال سنج	بجز ماریه کس نشد مار گنج
کنون کان کفایت به دست آمدش	بجای نیاکان نشست آمدش
چو شه پوزش رای دستور یافت	دل خویش از آن داوری دور یافت
چو دستور گرد از دل شه ربود	سوی ماریه کس فرستاد زود
بفرمود تا عذر شاه آورد	همان قاصدی سر به راه آورد
زن کاردان چون شنید این سخن	گشاد از زر تازه گنج کهن
فرستاده‌ای را برآراست کار	فرستاد گنجی سوی شهریار
که چندین ترازوی گنجینه سنج	به یکجای چندان ندیدست گنج
چو بر گنج دادن دلش راه برد	هلاک از خود و کینه از شاه برد
درم دادن آتش کشد کینه را	نشاند ز دل خشم دیرینه را
