کسانی کین بهشت جاودانی	طلبکارند اندر زندگانی
بقدر منزلت معنی ندیدی	حقیقت را تو از دعوی بدیدی
بقدر اندر چنین منزل نظر کن	دل خود را تو از خود هم خبر کن
خبر کن بیخبر خود از حقیقت	که اعیانست اینجا دید دیدت
خبر کن بیخبر خود را تو ازدل	که مقصود تو اینجا هست حاصل
خبر کن بیخبر خود را تو از جان	که اینجا میتوانی یافت جانان
خبر کن بیخبر خود را ز معنی	که اینجا میتوانی یافت مولی
خبر کن بیخبر خود را تو از دوست	ز فرقم تا قدم مر جوهر دوست
خبر کن بیخبر خود را تو از یار	مگو این گر بدانی می نگهدار
خبر کن بیخبر خود را حقیقت	بدان کاینجای صورت دید دیدت
خبر کن بیخبر خود را تو از دید	که معنیّ توئی تو هست توحید
خبر کن بیخبر تا خود بدانی	همی گویم بتو کلّی تو دانی
خبر کن بیخبر خود را و بشناس	مر این معنی بدان از عشق و مهراس
خبر کن بیخبر خود را از آن دید	یکی بین جمله را در سرّ توحید
خبر کن بیخبر خود را از آن ذات	که اینجا نقش گردد جمله ذرّات
خبر کن بیخبر خود را از آن نور	که اینجا در دلش افتاد منصور
خبر کن بیخبر خود را از آن یار	که این سِرّ کرد اینجا او پدیدار
خبر کن خویش را تا باز یابی	عیانی خویش از وی راز یابی
خبر کن خویش را زان راز دیده	که خود را بود اینجا باز دیده
خبر کن خویش زان پاکیزه گوهر	که نزدش ارزنی آمد سراسر
خبر کن خویش زان اسرار جُمله	که او دیدست اینجا یار جمله
خبر کن خویش را زان شاه درگاه	که دیده بود در اینجا گهت شاه
خبر کن خویش از آن پاکیزه ذرّات	که دیده بود اینجا جوهر ذات
خبر کن خویش از او این راز مطلق	که زد اینجا اناالحق او ابر حق
خبر کن خویش از او تا راز یابی	مگر اسرارش اینجاب از یابی
خبر کن خویش از او و راز بنگر	درون خویشتن را باز بنگر
خبر کن خویش از او و یاب اعیان	هم اندر او شو اینجاگاه پنهان
خبر کن خویش از او دیدار دریاب	درونت اوست دید یار دُرّ یاب
از او بشناس اینجا در وجودت	حقیقت عشق بنگر بود بودت
از او بشناس عشق اینجا ضرورت	رهاکن همچو او اینجا تو صورت
از او بشناس عشق و راه بشناس	حقیقت از عیانش شاه بشناس
از او بشناس عشق و راهبر شو	چو اویی جسم و بی خوف و خطر شو
از او بشناس عشق و دل نگهدار	که میبنمایدت اینجا رخ یار
از او بشناس عشق و جان یقین کن	همه ذرّات اینجا پیش بین کن
از او بشناس اینجا عشقبازی	سزد گر جان و دل چون او ببازی
از او بشناس عشق و جان برانداز	دل خود همچو شمع از شوق بگداز
از او بشناس عشق و در فنا شو	حقیقت محو کن خود کل خدا شو
از او بشناس عشق و خود تو در باز	چو او اینجایگه سر را برافراز
از او بشناس چون گشتی فنا تو	رسی در عزّت و قرب و بقا تو
اگر چون او تو جان و سر ببازی	برآرد مر ترا این عشقبازی
اگر چون او تو جان در بازی اینجا	حقیقت صاحب رازی در اینجا
اگر چون او ترا این درگشاید	ترا اسرار همچون او نماید
دم سرّ اناالحق را زنی تو	حقیقت پنج از بن بر کنی تو
اناالحق گر تو خواهی زد چو منصور	حقیقت باش هان از جسم و جان دور
اناالحق گر تو خواهی زد در این دم	بلا آید ابر جانت دمادم
اناالحق گر تو خواهی زد در آن دید	یکی باید بدیدن عین توحید
اناالحق گر تو خواهی زد در این راز	از اوّل صورت و معنی برانداز
اناالحق گر تو خواهی زد در این راه	مشو غافل چو اللّه باش آگاه
اناالحق گر تو خواهی زد در اسرار	حقیقت جای بینی بر سر دار
اناالحق گر تو خواهی زد چو حلاج	کند از تیر پرتابیت آماج
در این سر چون کنی گرراز دانی	بباید رفتنت از زندگانی
نیابند این معانی اهل صورت	حقیقت خاصه مر اهل کدورت
دلی باید که جمله دوست باشد	همه مغز یقین و پوست باشد
دلی باید که جمله راز بیند	همه در جوهر خود باز بیند
دلی باید که در اسرار معنی	رود بر دار او مانند عیسی
دلی باید که بیند راز مطلق	پس آنگاهی زند دم از اناالحق
دلی باید که دید دید بیند	حقیقت ذات در توحید بیند
دلی باید که کلّی یار گردد	بجز حق از خود او بیزار گردد
مر این دم چون زند در عشق بازی	بسوزد پاک بیند سرفرازی
مر این دم چون زند کل یار باشد	یقین از جسم و جان بیزار باشد
مر این دم چون زند از عشق اوّل	حقیقت کل بود از اصل اوّل
مر این دم چون زند اینجا یقین او	حقیقت کل بود عین الیقین او
مر این دم چون زند او در عیانی	یکی بیند همه در بی نشانی
مر این دم چون زند بر دار آید	ز دید عشق برخوردار آید
مر این دم چون زند سر را ببازد	بجسم و جان در اینجاگه ننازد
مر این دم چون زند خود را بسوزد	چو شمعی بود خود را برفروزد
فنا گردد زجسم و جانِ پیدا	شود در بحر عرفان مانده شیدا
بمانده در حقیقت یادگار او	حقیقت مر چنین گفتست یار او
اگر ره میبری در سرّ اسرار	ز جسم و جانت باید گفت بیزار
وگر خود دوستداری زین مزن دم	که این سرّ کس نیابد جز که محرم
حقیقت داند این اسرار معنی	که کلّی دیده بود انوار معنی
حقیقت جمله را او دیده بد راز	نگردد از نمود خویشتن باز
چنان در سیر قربت در یکی او	بود کاینجا نباشد مر شکی او
در آن حضرت بود از جان خبردار	ز دل باشد حقیقت صاحب اسرار
در آن حضرت نگردد باز اینجا	یقین شد او عیان شهباز اینجا
چنان در لا بود اللّه دیده	که خود باشد جمال شاه دیده
نگردد باز اینجا لا بود او	حقیقت در همه لاشیی بود او
نگردد باز تایکی شود باز	حقیقت او بود در عشق جانباز
ز لا مردان کلّی در یکی او	یکی بیند خدا را بیشکی او
تو گر این راز بشناسی در اینجا	یقین از جان تو بهراسی در اینجا
نهنگ لا چو در خونت کند گم	تو باشی آن زمان در عین قلزم
دم از دریا زنی دریا شوی تو	ز بود جانت ناپروا شوی تو
ز لا در بود الاّ اللّه رسی دوست	بیابی و بدانی جزو و کل اوست
حقیقت شرح او هرگونه گویم	بجز دیدار بیچون را نجویم
هنر دیدست منصور از حقیقت	تو هم زو در نگر در دید دیدت
از او بنگر کز او این راز گفتم	از او بشنیدهام زو باز گفتم
مرا این سر از او موجود آمد	که ذاتم جملگی معبود آمد
مرا این سر مسلّم شد ز منصور	همین دم میزنم تا نفخهٔ صور
همین دم میزنم تا جان ببازم	سر و جان بررخ جانان ببارم
همین دم میزنم کارام با اوست	حقیقت هم می و هم جام با اوست
همین دم میزنم تا دم برافتد	وجود عالم و آدم برافتد
همین دم میزنم وز کس نترسم	چو اعیان یافتم از کس نپرسم
همین دم میزنم در پاکبازی	که دارم در حقیقت بی نیازی
همین دم میزنم مینگذرم من	از این دم تا که جان را بسپرم من
همین دم میزنم در شرع و تقوی	شدم در شرع و تقوی ذات مولی
همین دم میزنم اینجا یقینم	شدست از ذات کل در خویش بینم
همین دم میزنم زین برنگردم	که تا معنی و صورت برنگردم
همین دم میزنم تا کشته آیم	میان خاک و خون آغشته آیم
همین دم میزنم بی دید تقلید	که جانانم یقین در سرّ توحید
همین دم میزنم مانند حلاّج	که بنهادست جانان بر سرم تاج
همین دم میزنم گر راست دیدم	ز وی در ذات وی بیشک رسیدم
دم او میزنم اینجا نهانی	که بنمودست رویم کل عیانی
دم او میزنم کز اوست دیدم	ز وی در ذات وی بیشک رسیدم
دم او میزنم اینجا که یارم	کند مانند او بر عین دارم
دم او میزنم کین دم دم اوست	یقین عطّار اینجا همدم اوست
مرا زو ایندم اینجا گشت موجود	یقین ذات من اینجا در ازل بود
مرا عطّار اکنون پیش از این گفت	اگرچه اوست در عین الیقین گفت
مگو عطّار با هر کس تو این سر	نگهدار این معانی را ز ظاهر
وجودت رفت خواهد در سوی خون	حقیقت وصل دیدستی ز بیرون
حقیقت اندرون هم وصل داری	دم از آن میزنی کین اصل داری
ترا از وصل اصل آمد بدیدار	که ذات کل ز وصل آمد پدیدار
حقیقت وصل خواهد در رسیدن	دل و جانت بجانا آرمیدن
بخواهی رفت اندر جوهر ذات	حقیقت محو خواهی کرد ذرّات
سخن این باز ز اعیانست تحقیق	نه تقلیدست بیشک هست توفیق
سخن این بار اندر درد آمد	از آن جانان بجانت فرد آمد
سخن این بار بی تقلید گفتی	ز اعیان و ز دید دید گفتی
سخن این بار از درد حضورست	از آن هر حرف گوئی جمله نورست
سخن این بار در درد وصالست	از آن اینجات اعیان جلالست
سخن این بار از دردست ودرمان	از این دردست خوش میگوی و میخوان
سخن این بار از دردست پیدا	حقیقت جوهرت فردست اینجا
سخن این بار از دردست و رازست	از آن این در حقیقت بر تو بازست
سخن این بار از دردست جانان	از آن بنموده است اسرار اعیان
سخن این بار از دردست و شوقست	ترا زان ازحقیقت جمله ذوقست
چنانت درد عشق آمد در این دل	که کردی عاقبت مقصود حاصل
چنانت درد عشق آمد پدیدار	که جانت شد در اعیان ناپدیدار
سخن کز درد میآید وصال است	در آن پیدا تجلّی جلالست
سخن کز درد میآید عیانست	در آن مرنکته صد راز نهان است
سخن کز درد میآید یقین است	کسی باید که در عین الیقین است
سخن کز درد آید درگشاید	ترا اسرار کلّی وا نماید
سخن کز درد آید در معانی	بود اینجا نشان بی نشانی
سخن کز درد آید دل بسوزد	حقیقت جان و دل هم کل بسوزد
سخن کز درد آمد در دل و جان	حقیقت کل نماید راز پنهان
سخن کز درد گفتی اندر اینجا	بسی دُرها که سفتی اندر اینجا
سخن باقیست آخرگه بخواند	وگر خواند که اینجا بازداند
سخن باقیست جسمت نیست باقی	دمادم جام مینوشی ز ساقی
سخن باقیست کاینجا راز دیدی	نمود اینجا تو از من باز دیدی
سخن باقیست آن بایدت گفتن	بهر دم جوهری بایدت سفتن
سخن باقیست میکش جام اینجا	که دیدستی عیان فرجام اینجا
سخن باقیست هم با اهل دل گوی	نمودِ رازِ اوّل ز اهل دل جوی
سخن باقیست میگوی از حقیقت	دوای درد میجوی از شریعت
سخن باقیست اندر شرع میگوی	حقیقت گوی نی از فرع میگوی
سخن باقیست چندانی که گوئی	نه بد پیداست میگوئی نگوئی
سخن باقیست اکنون در تو بگشای	حقیقت گنج کل اینجا تو بنمای
سخن باقیست از اسرار گفتی	حقیقت جملگی از یار گفتی
سخن باقیست میکش جام اسرار	که آغازی تو در انجام اسرار
سخن باقیست جام عشق مینوش	که بردستی راه اندر چشمهٔ نوش
سخن باقیست یارت نیز باقی است	چه غم داری چو دلدار تو ساقی است
چودلدارست ساقی جام می خَور	ز دید عشق یک دم هان تو مگذر
چو دلدارست ساقی غم نداری	از آن هشیار اندر پیش یاری
چو دلدارست ساقی راز میگوی	ابا ساقی حقیقت باز میگوی
چو دلدارست ساقی زو تو برخور	تو هستی ذرّه چشمت دار و برخور
حقیقت چونکه دلدارست ساقی	سخن آخر ندارد هیچ باقی
سخن از وصل گوی و اصل دریاب	درون خویش آخر وصل دریاب
سخن در وصل میگوئی که اصلی	از آن اینجایگه در عین وصلی
سخن در وصل میگوئی که جانی	از آن اینجایگه راز نهانی
سخن در وصل میگوئی که یاری	از آن از جان جان پاسخ گذاری
سخن از وصل میگوئی بتحقیق	که بردستی ز جانان گوی توفیق
سخن از وصل میگوئی و جانان	ازینجا مینمائی راز پنهان
سخن از وصل میگوئی و دیدار	وجود خویشتن کرده پدیدار
سخن از وصل میگوئی و اعیان	در آن هرنکتهٔ صد راز پنهان
سخن از وصل میگوئی و منصور	از آن گشتی تو در اسرار مشهور
سخن از وصل او گفتی حقیقت	نمود اینجایگه او دید دیدت
سخن در وصل او گفتی در اسرار	برون آوردت او از عین پندار
سخن از وصل او میگوی اینجا	که از وصلش ببردی گوی اینجا
سخن از وصل او میگوی ای دل	که مقصود تو شد زو جمله حاصل
سخن از وصل او میگوی در راز	که دیدستی از او انجام و آغاز
سخن از وصل او میگوی الحق	کز او دم میزند جانت اناالحق
سخن از وصل او میگوی و خوشباش	که دیدی در وصالش عشق نقّاش
وصل عشق چون در دل درآید	حقیقت جزو و کل یکی نماید
وصال عشق بنماید یکی باز	حقیقت را زجانان بیشکی باز
وصال عشق هر کو یافت اینجا 	حقیقت شد عیانش جمله اشیا
وصال عشق هر کو یافت از دید	عیانش شد حقیقت سرّ توحید
وصال دوست چون در عاشقانست	هر آن کز خود گذشته عاشق آنست
وصال عشق چون در جان درآید	ز هر یک ذرّه صد طوفان برآید
وصال عشق در اینجاست بنگر	نه پنهانست بس پیداست بنگر
وصال عشق در دست اوّلِ کار	بآخر درد گردد ناپدیدار
وصال عشق اگر خواهی حقیقت	فنا باید شدت در جان رسیدت
وصال عشق اگر بشناختی تو	حقیقت جسم و جان در باختی تو
وصال عشق اینجا رایگان است	ببین کاینجا حقیقت در عیان است
وصال عشق خواهی خود بسوزان	حقیقت بود نیک و بد بسوزان
وصال عشق خواهی خویش در باز	که تاگردد ترا تحقیق در باز
وصال عشق خواهی همچو منصور	بیک ره شو ز دید خویشتن دور
وصال عشق خواهی در اناالحق	دم منصور زن اینجا تو بر حق
وصال عشق خواهی آخر کار	ز بود خود بحق شو ناپدیدار
وصال عشق رخ بنمود در جان	از آن منصور دم زد کل ز جانان
وصال عشق او را کرد پیدا	اناالحق اندر اینجا گشت شیدا
وصال عشق چون پرده برانداخت	چو شمعی در میان جمع بگداخت
وصال عشق او را تا فنا شد	حقیقت خالق ارض و سما شد
وصال عشق عاشق گشت کل ذات	حقیقت ذات شد اعیان ذرّات
حقیقت وصل عشق اندر یکی بُد	از آنش بی گمان در حق یکی شد
وصالش عشق او را در یقین کرد	ز بودش جزو و کل عین الیقین کرد
یقین بُد ذات اینجاگه یکی بود	خدا در جان او کل بیشکی بود
اگرچه وصل از او او با فراقست	ولیکن عاشقان را اشتیاق است
فراق و صبر چون کردند مردان	حقیقت رخ نماید وصل جانان
کسی باید که در یابد فراق او	بسوزد در عیان اشتیاق او
چنان سوزان بود ماننده شمع	که یکی بیند و مر خویش با جمع
نداند راز او جز خویش هر کس	نگوید سرّ خود در پیش هر کس
ازاوّل در سلوک و سیر باشد	در آخر در یکی بی غیر باشد
از اوّل عاشق و بیمار گردد	ز نفس خویشتن بیزار گردد
چنان در عشق باشد مبتلا او	که هر دم پیشش آید صد بلا او
کنندش سرزنش بسیار در راه	نباشد از درونش هیچ آگاه
کسی الاّ به جز جانان جانش	که خود داند یقین راز نهانش
چنان در درد و شوق و صبر باشد	که همچون مردهٔ در قبر باشد
حقیقت مرده باشد در بر خلق	بیندازد ز خود زنّار با دلق
ابا دیوار گوید راز اینجا	ز کل پرسد حقیقت بازاینجا
مر او را خلق چون دیوانه خوانند	ز عقل خویشتن بیگانه خوانند
بطبعش هر زمانی صد قفاپیش	زنند و او تحمّل میکند پیش
تحمّل میکند در عشق فارغ	که تا گردد ز دید دوست بالغ
تحمّل میکند از جمله اینجا	نیندیشد وی از فریاد وغوغا
اگر شمشیر بر فرقش درآید	از آن شمشیر جانش کل سرآید
نگرداند رخ از شمشیر جانان	در این بیشه بود او شیر جانان
ز سنگ و چوب و طعن هرزه گویان	نباشد هیچ غم او را یقین دان
حقیقت از بلای دوست بیند	که تا آخر لقای دوست بیند
بلای دوست از جان میکشد او	حقیقت زهر درمان میچشد او
بلای عین و رسوائی دلدار	در اینجا باید اندر اوّل کار
بلا عشقست و رسوائی جانان	حققت کش تو چون منصور از جان
بلای عشقست و رسوائی در اینجا	بکش تا بازیابی سرّ یکتا
بلا عشقست هر کو یافت این دو	یکی بیند حقیقت چه من و تو
بلا عشقست اگر اینجا کشیدی	جمال دوست زین سر باز دیدی
چو عاشق در بلا آمد گرفتار	برون آید ز عجب و کبر و پندار
چو عاشق در بلا و صبر آید	در آخر رخ ورا جانان نماید
چو عاشق در بلا دارد تحمّل	شود آخر چو خورشید از تجمّل
چو عاشق در بلا اوّل قدم زد	حقیقت هر چه آمد او رقم زد
چوعاشق نیک و بد بیند یکی او	حقیقت یک یکی بیند یکی او
چو عاشق در بلا اینجایگه دید	در اعیانِ تجّلی یافت توحید
در آن عین بلا چون دید جانان	بلایش باشد اینجا راحت جان
طلبکار بلا باشد در آخر	بوی بگشاده گردد این در آخر
درش بگشاده باشد از یقین باز	حقیقت باشد و انجام و آغاز
حقیقت قربتش موجود باشد	عیان در ذات او معبود باشد
دوئی برداشته یکتا شده باز	حقیقت باشد از انجام و آغاز
بلای قرب دید و با لقایش	نموداری شده اندر فنایش
فنایش را بقا شد راز دیده	در آن عین بلا کل باز دیده
کمال عقل را برداشته پاک	بلا دیده حقیقت داشته خاک
بَرِ خود نقطه با پرگار اینجا	ابا ایشان زخود بیزار اینجا
از آتش آتشی در خود فکنده	ز گردن دل ز نیک و بد فکنده
حقیقت خاک برداده چو بر باد	جهان جاودان راکرده آباد
یقین چون آب در عین وصالش	شده آیینهٔ جان در جمالش
عیان خاک دیده راز آخر	از آن انجام این آغاز آخر
چو گوئی پایداری کرده اینجا	چو دریا هر زمان در شور و غوغا
حقیقت جوهر جان طلبکار	اگرچه وصل یابد لیس فی الدّار
حقیقت اصل ذاتی باز جوید	در آن اسرار راز راز گوید
در آن اصل ارچه باشد مینداند	دم عین العیان او کی تواند
زدن تا پردهٔ کل برنیفتد	میان خاک و خون آخر نخفتد
حقیقت سالک این معنی نداند	که تا آخر وصال کل بداند
چو این معنی بداند آخر کار	ز بود جسم گردد ناپدیدار
وصالش رخ نماید با حقیقت	برون آید چو مغزی از طبیعت
چو مغز از پوست بیرون رفت اینجا	حقیقت مغز کل یابد مصفّا
اگر با مغز باشد مغز بیند	هر آن چیزی که بیند نغز بیند
نبیند پوست الاّ مغز جانان	حقیقت باز یابد سرّ پنهان
تن اندر عشق ده وز عشق برخور	جمال بود معشوقت تو بنگر
تن اندر عشق ده گر مرد کاری	تو همچون عاشقان بردباری
تن اندر عشق ده تا جاودانت	کند بیخویش ازنام و نشانت
تن اندر عشق ده تا در فنایت	بماند جاودان دید بقایت
تن اندر عشق ده وز وصل او بین	بجز او هیچ اینجا کل نکو بین
تن اندر عشق ده تا راز یابی	حقیقت روی جانان باز یابی
تن اندر عشق ده چون انبیا تو	مثال انبیا میکش بلا تو
تن اندر عشق ده تا آخر کار	برافتد پردهٔ جسمت بیکبار
تن اندر عشق ده صاحب دلانه	که تا یابی بقای جاودانه
تن اندر عشق ده وز خویش بگذر	اگر مرد رهی در خویش منگر
تن اندر عشق ده وین جسم در باز	حقیقت جسم را با اسم در باز
تن اندر عشق ده تا گردی آزاد	فنا شو تا کنی مر جانت آباد
تن اندر عشق ده تا اصل یابی	که از عشق حقیقی وصل یابی
تن اندر عشق ده تا جان شوی تو	درون جزو و کل جانان شوی تو
تن اندر عشق ده پس بی نشان شو	درون خویش کلّی جان جان شو
تن اندر عشق ده وز بی نشانی	بیاب آخر حقیقت رایگانی
تن اندر عشق ده وز عشق میگوی	جمال بی نشان در عشق میجوی
تن اندر عشق ده تا راز اوّل	بیابی ونمانی تو معطّل
اگر مرد رهی از عشق مگریز	حقیقت از بلای او مپرهیز
بلای عشق کش تا ذات بینی	چنین کن تو اگر صاحب یقینی
بلای عشق کش ای زنده دل تو	ممان چندینی اندر آب و گل تو
حقیقت هر که اینجاگه بلا دید	یقین او آخر کارش لقا دید
حقیقت هر که او مجروح یار است	مر او را رازهای بیشمار است
حقیقت هر که اینجا جان و سر باخت	سر خود چون عَلَم اینجا برافراخت
حقیقت هر که اینجا جان ببازید	عیان دریافت چون مردید توحید
اگرچه مرد عاشق در بلایست	چه غم چون عاقبت عین لقایست
لقا اندر بلا بنهاد جانان	کسی کاینجای خود را راز جانان
لقا اندر بلایست ار بدانی	بلاکش تا ترا باشد نهانی
حقیقت رازها مانند منصور	شوی از عشق خود از جزو او دور
دلا عطّار با تست و تو اوئی	چرا چندین تو اندر گفتگوئی
نیامد آخر کار تو آغاز	ندیدی همچنان سر رشتهات باز
نیامد مر ترا مقصودحاصل	نگشتستی تو اندر عشق واصل
نیامد مر ترا آغاز و انجام	حقیقت میندیدی تو سرانجام
چرا چندین تو اندر گفتگوئی	نکردستی تو گم در جستجوئی
نکردی هیچ گم چون اصل داری	در اینجاگه تو بود وصل داری
نیامد وقت خاموشی ترا هان	که داری خویش را در نصّ و برهان
نیامد وقت خاموشیت آخر	چو مقصود تو شد در عشق ظاهر
نیامد وقت خاموشی کنونت	هنوز اینجا نداری تو سکونت
نیامد وقت خاموشی زمانی	که پردازی بهردم داستانی
نیامد وقت خاموشی بدیدار	که تا گردی بکلّی ناپدیدار
نیامد وقت خاموشی چو منصور	چو گشتی در همه آفاق مشهور
نیامد وقت خاموشی چون مردان	که گفتی سر حقیقت تن زنی زان
ترا چون رازهست اینجای سرباز	مگو تو بیش از این چندین و سرباز
ترا چون هست اصل و وصل گوئی	بگو تا بعد از این دیگر چه جوئی
ترا چون هست اعیان آخر کار	بگو تا چند خواهی گفت از یار
نماندت عقل و جانت رفت از دست	دلت ماندست و آنت رفت از دست
کمالت ای دل بیچاره حاصل	شدت در آخر کار تو واصل
کمالت یافتی در آخر کار	برافتادست مر پرده بیکبار
کمالت یافتی اینجا شدی کل	حقیقت تو یقین دیدی بسی ذل
کمالت یافتی بیصورت اینجا	رخت بنموده است منصورت اینجا
کمالت بی نشانی بود و دیدی	حقیقت در سوی جانان رسیدی
کمالت بی نشانی بود از آغاز	که اندر بی نشان او یافتی باز
کمالت بی نشانی بود اینجا	از آن بودی تو بود بود اینجا
کمالت بی نشانی سوی حق بود	از آن صورت نشانی گوی حق بود
کمالت بی نشانی بود از دوست	از آن بیرون شدی چون مغز از پوست
کمالت بی نشانی بود از آن یار	از آن دیدی حقیقت روی دلدار
کمالت بی نشانی بود و دیدم	کنون اندر جلالت من رسیدم
کمالت بی نشانی در نشان شد	از آن اسرار پیدا و نهان بُد
کمالت بی نشان شد اندر اینجا	چنان کز بی نشان بُد اندر اینجا
کمالت عاشقانِ راز دیده	در اینجا آمده کل باز دیده
کمالت عارفان دیدند اینجا	از آن در دیدن دیدند بینا
گمان خویشتن هم خود بدیدی	یقین خود در کمال خود رسیدی
چنان بگشادهٔ در اصل آغاز	که بگشاده نیامد هیچکس راز
درت باز است و نادان ره نداند	مر این جز مر دل آگه نداند
درت باز است آنکس راز بیند	که او اندر درون شهباز بیند
درت باز است آنکو دید در باز	حقیقت بر در درگشت سرباز
درت باز است شهبازان عالم	درون آیندت و بینند دردم
درت باز است ای جان جهان تو	نه بگذاری کسی را رایگان تو
درون خلوت خود هیچکس را	نرانی عاقبت شان بازپس را
مگر آنکو سر خود را ببازید	ترادرخلوت ای گل رایگان دید
نبیند روی تو جز سر بریده	حقیقت گشته و عشق تو دیده
نبیند هیچکس روی تو اینجا	مگر گمگشتهٔ سوی تو اینجا
نبیند روی تو جز صاحب درد	که آید کشتهٔ تو او بود فرد
نبیند روی تو جز ناتوانی	که خواری دیده باشد هر زمانی
نبیند روی تو جز دل شده باز	که بنمائی ورا انجام و آغاز
نبیند روی تو جز در بلاکش	که باشد در یقین او در بلا خوش
کسی دیدست رویت اندر آفاق	که چون منصور شد از جسم و جان طاق
کسی دیدست رویت در حقیقت	شده او کشته در کویت حقیقت
کسی دیدست روی تو ز پرده	که باشد خون دل در عشق خورده
کسی دیدست رویت ای شه کل	که آمد در بر تو آگه کل
کسی دیدست رویت در عنایت	که بخشیدی ورا اینجا هدایت
کسی دیدست رویت در درونش	که هم تو کردهٔ مر رهنمونش
کسی دیدست جانان دید دیدت	که خود را پیش پا او سر بریدت
کسی دیدست رویت از تجلّی	که چون منصور شد در عین الّا
همه در حسرت این راز باشند	اگر اینجایگه سرباز باشند
همه در حسرتند و گفتگویند	توئی در اندرون در جستجویند
نداند راه جز ره کرده در تو	درون جسم و جان در پرده در تو
هر آنکو آمد اندر پردهات باز	بدید او سرّ خود در پردهات باز
از این پرده که اینجا بازبستی	حقیقت خویش را در راز بستی
ترا این پرده اینجا شد مسلّم	که بستی بیشکیش در دید آدم
طلب کردند اندر پرده اینجا	ز هر سوئی بسی گم کرده اینجا
نشان از پرده اینجا میدهد باز	ولی کی باز بینندت باعزاز
درون پردهٔ یا در برونی	ولی دانم که اندر پرده چونی
نه بیرونی ولیکن از درون تو	درون بگرفتهٔ و رهنمون تو
یقین کاندر درون می راز جوئی	ز بیرونت درون را باز جوئی
چو خورشیدی ز بیرون در درونم	بنور خود یقین شد اندرونم
که بر تو هم درون و هم برونست	از اعیان یقین بیچه و چونست
وصالت در درونم می درآید	اگرچه از برونم مینماید
بسی دادست اینجا گوشمالم	یقین هجران تو اندر وصالم
