ای گشایندهٔ خزاین جود	نقش پیوند کارگاه وجود
این هنر قدت خداوندی	جادویی بود نی هنرمندی
لیک از انجا که راست اندیش است	دستها را ز دستها پیشی است
بین که تا نفگی ز بینش پیش	بینش خویش را به بینش خویش
کانج ازین گرده‌هات نغز نمود	نیز ازین نغز تر تواند بود
شاه را طیره کرد گفتارش	زعفران گشت رنگ گلنارش
گفت کای در خور جفا بدی	این چه گستاخیست و بی خردی
من که کارم همه نمونه بود	دیگری به ز من چگونه بود
این سخن گفت و پی به کین افشرد	او فگندش زین و مرکب برد
ماند بی خویشتن صنم تا دیر	تشنه و غرق آب و از جان سیر
بس به صد خستگی ز جا برخاست	راه صحرا گرفت و می شد راست
از کف پای خارهای چو تیر	می گذشتش چو سوزنی ز حریر
پا که از برگ گل فکار شود	چون شود چون به زیر خار شود
کس نه همراه و رهنماش مگر	سایه در زیر و آفتاب ز بر
می‌نمود اندران پریشانی	گفته و کرده را پشیمانی
قدری چو برین نمط بشتافت	گذر اندر سواد دیهی یافت
آن دهی بود بر کرانهٔ دشت	کادمی هیچ از آن طرف نگذشت
آمد آن مه دران خرابه شتاب	همچو مهتاب کوفتد به خراب
در شد اندر تریچ دهقانی	در سفال شکسته ریحانی
بود دهقان جوانی آزاده	هم هنرمند و هم ملک زاده
طرفه بر بط زنی گزیده سرود	دست چون ابر و برق بر سر رود
باز دانسته پرده‌ها را راز	مضحک و مبکی و منوم ساز
چون نگه کرد سرو سیمین را	روی گل رنگ و زلف مشکین را
ماند حیران که این چه جانور است	وندرین دشتش از کجا گذر است
این پری از کجا پرید اینجا	ور پری نیست چون رسید اینجا
گفت کای چشم بد ز روی تو دور	کیستی تو بدین لطافت و نور
ملکی با پری و یا مردم	خبری ده که با خبر گردم
صنم تن گدل ز تنگ دلی	داد بیرون دمی به صد خجلی
گفت یک یک ز جان بی آرام	قصهٔ خویش و غصهٔ بهرام
گفت ز آنجا که کارنامهٔ تست	شرف ما به بارنامهٔ تست
چون تو شایسته خداوندی	من پذیرفتمت به فرزندی
گر قناعت کین به خشک و تری	حاضر خدمتم به ماحضری
خواجه زان اختر فلک مایه	بر زمین بوسه داد چون سایه
از هنرها که بود حاصل او	از دل خویش ریخت در دل او
کرد استاد در همه جای	خاصه در پرده بریشم ونای
چند گه جادوئی شد اندر ساز	که بکشتی و زنده کردی باز
این خبر شهره گشت در آفاق	کز جهان جادوئی برامد طاق
کاهو از دشت سوی خود خواند	کشد و باز زنده گرداند
گفت و گویی بهر کران افتاد	غلغلی در همه جهان افتاد
از پژوهندگان در گاهی	یافت دارای دولت آگاهی
زان هوسها که بود در بهرام	زین خبر در دلش نماند آرام
بامدادان عنان به صحرا داد	سرو را باد و باد را پا داد
چون تمنای آن تماشا داشت	رفت جائی که آن تمنا داشت
گفت بهرام کارزو داریم	که هنرهات پیش چشم آریم
نازنین را که آن همه رم و رام	بود بهر شکنجهٔ بهرام
زان تمنای شه که در خور یافت	جای جولان خویشتن دریافت
گشت همراه شیر گیری شاه	نازند راه آوان زان راه
چو زد آهو بسی و گور انداخت	لحن آهو نواز را بنواخت
آهوان رمیده با دل ریش	پای کوبان درامدند ز پیش
چو سوی خویش خواندشان به سرود	پرده خواب راست کرد به رود
در زمان کان نفس فرو بردند	همه خفتند گوئیا مردند
چون دمی دیده‌ها بهم بستند	ساخت آن جسته را که برجستند
زان نمونه که شرح نتوان داد	زنده را کشت و کشته را جان داد
دید شه نیز سحرمندی او	بست چشمش ز چشم بندی او
لیکن آورد همچو طراران	بر گهر طعنهٔ خریداران
کاین چنین‌ها بسی است اندر دهر	هر کسی دارد از طلسمی بهر
کاردانی به کشوری نبود	که ازو کار دانتری نبود
در شکر خنده شد بت شیرین	گفت آری از ان ما همه این
زیرکان در هنر بوند تمام	لیک بهتر زمانه از بهرام
شاه آواز آشنا بشناخت	ناوکش را نشانهٔ جان ساخت
داد منزل به جان مشتاقش	در برآورد چون به غلطاقش
زد ز عذر گناه خود نفسی	عذرهای گذشته خواست بسی
بس به صد شادی و دلارامی	باز بردش به تخت بهرامی
دل کزان پیش مهربان بودش	پیش از ان شد که پیش از ان بودش
شاه فرمود کان دو صورت حال	آید اندر نمونهٔ تمثال
نقش بندان بخانهٔ تصویر	در خور نق نگاشته و سریر
پور منذر که بود نعمان نام	در سبق هم جریدهٔ بهرام
شه ز بس دانش و معانی اور	وز بزرگی و کاردانی او
در همه ملک اشارتش داده	دستگاه و زارتش داده
چون ز صحرا نوردی بهرام	مصلحت را گسسته دید عنان
جست دانای کار مردی چند	تجربت یافته ز چرخ بلند
دادشان یادگارهای گران	در خور پیشگاه تاجوران
کاورند از برای خلوت بخت	هفت دختر ز هفت صاحب تخت
رهروان بعد هفت ماه خرام	آوریدند هفت ماه تمام
چون قوی شد بنای پردهٔ راز	کرد نعمان بنای دیگر ساز
بر لب جوی مرغزاری جست	کز بهشتش نمونه بود درست
خواند معمار کاردان را پیش	باز گفتش خیال خاطر خویش
از زمین تا فراز گنبد مهر	هفت گنبد برآوری چو سپهر
بود بنای کاردان مردی	کز زمین آسمان بنا کردی
شیده نامی که هر چه پیدا کرد	خلق را زان نمونه شیدا کرد
هفت گنبد چو رنگ و بوی گرفت	جا در و هفت ماه روی گرفت
هر یکی هم به رنگ مسکن خویش	جامه را رنگ داده بر تن خویش
چون شد اسباب هفت خانه تمام	باز گفتند قصه با بهرام
کانچه نعمان کاردان آراست	زاد می زادگان نیاید راست
شاه کاین مژدهٔ نشاط شنود	میل طبعش عنان ز دست ربود
چون رسید اندران خجسته سواد	گشت بر لاله کرد و بر شمشاد
بوی گلهاش مغز پرور گشت	مغزش از بوی گل معطر گشت
بیشتر شد به بوستان فراخ	میوه بر میوه دید شاخ به شاخ
چون درامد به کار خانه نو	دید هر سو نگار خانه نو
جنتی بر ز جور زیبا دید	جان ز نظاره ناشکیبا دید
مجلسی یافت پر ز نعمت و کام	با حریفان نو نوشت به جام
آن چنان شد به روی خوبان شاد	کش ز عیش گذشته نامد یاد
خواند نعمان کاردان را پیش	بخششی کردش از نهایت بیش
آفرین گفت بر چنان رائی	که بر آراست آن چنان جائی
روز شنبه که باد مشک انگیز	شد به دامان صبح غالیه بیز
شه به گنبد سرای مشکین شد	خانه زو همچو نافه چین شد
ماه هند و نژاد رومی چهر	خاست از خوابگاه ناز به مهر
کرد چون ساقیان برعنائی	نقل ریزی و مجلس آرائی
ز اول بامداد تا گه شام	عشرت و عیش بود و باده و جام
شه ز مستی نمود رغبت خواب	هم ز گل مست بود و هم ز شراب
جانش از ذوق بوسه مفتون بود	مستی نقلش از می افزون بود
زان پری پیکر بهشتی وش	خواست کافسانهٔ سراید خوش
گفت وقتی به روزگار نخست	بود شاهی به شهر یاری چست
در سر اندیب پایه تختش	قدم آدم افسر بختش
هوسی بودش از دل افروزی	در چه کار دانش آموزی
داشت پیوسته چون نکو رایان	میل با زیرکان دانایان
سه پسر داشت هوشمند و جوان	هم توانگر به علم و هم بتوان
خواند روزی نهانی از اغیار	هر یکی را جدا به پرسش کار
گفت اول به اولین فرزند	که مرا شد بنفشه سرو بلند
قرعه بر تست پادشاهی را	رونق ماه تا به ماهی را
آن بنا نو کنی به داد و به جود	که جهان خوش بود خدا خشنود
ناتوان را برفق پیش آئی	با توانا کنی توانائی
به شبانی رمه نگهداری	گوسپند ان به گرگ نگذاری
پور دانا به خاک سود کلاه	گفت جاوید باد دولت شاه
تا توئی ملک بر کسی نه سزاست	بی تو خود زیستن ز بهر چراست
مور با آنکه در سریر شود	کی سلیمان تخت گیر شود
شه دران آزمایش کارش	چون پسنیده دید گفتارش
در دلش صد هزار تحسین خواند	واشکارش به خشم بیرون راند
خواند فرزند دومین را پیش	خاص کردش به آزمایش خویش
با فسونگر زبان به افسون داد	ماجرای گذشته بیرون داد
پسر زیرک از خردمندی	کرد پرسنده را زبان بندی
گفت ما را به جان و بینائی	کردنی شد هر آنچه فرمائی
لیک پیشت حدیث تاج و سریر	عیب باشد ز بنده عیب مگیر
دیرمان تو که تا توئی بر جای	دیگری کی نهد به مسند پای
وان زمان کاین زمانه گذران	با تو نیز آن کند که با دگران
مهتری هست آخر از من خرد	بار سر جز به دوش نتوان برد
شاه زو هم گره در ابرو کرد	وز حضور خودش به یک سو کرد
روی در خرد کاردان آورد	خرده‌ای باز در میان آورد
داد پاسخ جوان کارشناس	که ز طفلان نکو نیاید پاس
شاه چون دید کان سه گوهر پاک	می‌شناسند گوهر از خاشاک
شادمان شد ز بخت فرخ خویش	سود بر خاک بندگی رخ خویش
لیکن از پیش بینی و پی غور	با جگر گوشگان شد اندر شور
داد فرمان که هر سه بدر منیر	پیش گیرنده ره ز پیش سریر
تا حد ملک شهریار بود	هر که ماند گناهکار بود
زین سخن هر سه تن ز جای شدند	توشه بستند و ره گرای شدند
ره نوشتند بی شکیب و سکون	تا شدند از دیارشان بیرون
در رسیدند تا به اقلیمی	که از آن بود ملکشان نیمی
روزی از گردش ستاره و ماه	می نوشتند سوی شهری راه
تا که از پیش زنگی چون قیر	تک زنان سویشان گذشت چو نیر
گفت کای رهروان زیبا روی	شتری دید کس روان زین سوی
زان سه برنا یکی زبان بگشاد	نقش نادیده را روان بگشاد
گفت کان گمشده که رفت از دست	یک طرف کور هست گفتا هست
دومین باز کرد لب خندان	گفت او را کمست یک دندان
سومین هوشمند با تمیز	گفت یک پای لنگ دارد نیز
گفت چون راست شد نشانی او	بایدم ره به هم عنانی او
باز گفتند هر یکیش جواب	که همین راه گیر و رو بشتاب
مرد پوینده راه پیش گرفت	رفت و دنبال کار خویش گرفت
آن جوانان براه گام به گام	می نمودند نرم نرم خرام
تا زمانیکه گرم گشت سپهر	موج آتش فشاند چشمه مهر
زیر عالی درخت انبه شاخ	کش دو پرتاب بود سایه فراخ
در رسیدند رنجدیده ز راه	میل کردن سوی آب و گیاه
چشمه دیدند دست و پا شستند	بر گل و سبزه خوابگه جستند
چون ز یاد خوش درونه نواز	نرگس مستشان شد اندر ناز
ساربان باز در رسید چو باد	با زبانی چو خنجر پولاد
گفت این سوی تا بیک فرسنگ	پایم از تاختن نداشت درنگ
دیده گردی از آن رمیده ندید	گرد چه بود که آفریده ندید
گفت ازیشان یکی که بشنو گفت	هر چه دیدیم چون توانش نهفت
هست بارش دو سوی رویاروی	روغن این سوی و انگبین آن سوی
دومین کرد روی کار بر او	هست گفتا زنی سوار بر او
سومین گفت زن گرانبار است	وز گرانیش کار دشوارست
ساربان زانهمه نشان درست	گرد شک را ز پیش خاطر شست
آگهی چون نداشت از فن شان	چنگ در زد سبک بدامنشان
زان نفیر و فغان کزو برخاست	گرد گشتند خلق از چپ و راست
تا نهایت بران قرار افتاد	که بباید شدن چو کار افتاد
ملک عهد را خبر کردن	راه انصاف را نظر کردن
ساربان ماجرای حال که بود	وانهمه پاسخ و سوال که بود
گفت اول دعای دولت شاه	که بمان تا بود سپید و سیاه
ماسه بر نامسافریم و غریب	در تک و پویه زاری و خورد نصیب
می‌بریدیم ره ز گرش دهر	نارسیدیم بر در این شهر
او شتر جست و ما به لابه و لاغ	تازه کردیم نقش او را داغ
شد ملک گرم از این حکایت و گفت	کانچه پیداست چون توانش نهفت
برده را بازده بهانه مکن	خویشتن را به بد نشانه مکن
این سخن گفت و چون ستمکاران	بندشان کرد چون گنهکاران
آن جوانان نغز با فرهنگ	سوی زندان شدند با دل تنگ
شتر یاوه گشته با همه ساز	بر در ساربان رسید فراز
مردی آمد که در فلان کهسار	بر درختیش مانده بود مهار
من بران سو شدم بخار کشی	دیدم و کردمش مهار کشی
زن که بالاش بود گفت نشان	تا من آوردمش بر تو کشان
ساربان دادش آنچه واجب بود	بس به سوی ملک روان شد زود
گفت باشد که من ز دولت شاه	یافتم هر چه یاوه و گشت ز راه
شتر و هر چه بود بار بر او	وان عروسی که بد سوار براو
شه نظر سوی عدل فرماید	بندیان را ز بند بگشاید
شه ز آزار به گناهی چند	از جگر بر کشید آهی چند
خواندشان با هزار خجلت و شرم	نرم دل کردشان به پرسش نرم
وانگهی دادشان ز بند خلاص	خلعتی داد هر یکی را خاص
پس بپرسیدشان که قصه خویش	باز پاید نمودن از کم و بیش
کانچه مردم ندید پیکر او	چون نشانی دهد ز جوهر او
ماجرا گرد رست باشد و راست	خواسته بی کران دهم بی خواست
ور کم و بیش در میان آید	سر شمشیر در زبان آید
پس یکی زان سه تن زبان بگشاد	گفت بادی همیشه خرم و شاد
من که کوریش را نشان گفتم	بینشم ره نمود زان گفتم
همه یک سوی دیدم اندر راه	خوردنش از درخت و خاره گیاه
دومین گفت کز ره فرهنگ	من بیک پای ازانش گفتم لنگ
کانچنان دیدمش براه نشان	که به یک پای رفته بود کشان
برگ و شاخی که خورد کرده او	دیدم افتاده نمی خورد او
هر چه ناخورده می نمود در او	برگ یک یک درست بود در او
شاه گفتا که آن سه چیز نخست	هر چه گفتید راست بود و درست
سه دیگر بدانش و تمیز	روشن وراست گفت باید نیز
بازیکتن زبان راز گشاد	وانچه درپرده بود باز گشاد
گفت کاول دمی که از من رفت	ماجرا ز انگبین و روغن رفت
وان چنان بد که در خس و خاشاک	دیدم آلایشی چکیده به خاک
مگس افکنده بود یک سو شور	سوی دیگر قطار لشکر مور
هر چه در وی دوید مور به جهد	حکم کردم که روغن است نه شهد
وانچه سویش مگس نمود هجوم	به فراست شد انگبین معلوم
آن چنان دیدمش که گشت یقین	اثر زانو شتر به زمین
گشت پیدا ز پهلوی زانو	نقش نعلین‌های کدبانو
گفت سوم که رای من بنهفت	زان سبب حامل و گرانش گفت
کاندران جای کان جمازه نشین	بر جمازه سوار شد ز زمین
گفتم این حامل گرانبار است	کزمین خاستنش دشوار است
شاه کز هر سه تن شنید جواب	بنده شد زان فراستی به صواب
هر یکی را به صد نوا و نواخت	ساخت برگی چنان که باید ساخت
زان نمو دارد ور بینی‌شان	کرد رغبت به همنشینی‌شان
منزلی دادشان درون سرای	تا بود نزدشان به خلوت جای
دل چو گشتیش فارغ از همه کار	تازه کردی نشاط را بازار
با حریفان تو و به تنهائی	باده خوردی به مجلس آرائی
گوش کردی دم نهانی شان	بهره جستی ز کاردانی‌شان
آنگهی گفت جمله را خندان	کافرین بر شما خردمندان
با شما دوستان با تمیز	یافتم بهره‌مندی از همه چیز
با شما عیش موجب هنر است	هر چه پیش است سود بیشتر است
لیک گردندهٔ جهان پیمای	نتوان بند کرد در یک جای
ازین نمط خواست عذرها بسیار	بس بهر یک سپرد صد دینار
هر سه از بخت شادمانهٔ خویش	ره گرفتند سوی خانه خویش ...
