پادشاه بزرگ دین پرور	شهریار کریم حق گستر
گشت از اقبال آن عبیر گلاب	خاک در دشت و آب در فرغر
شب تاری نمود گونه روز	زهر قاتل گرفت طعم شکر
داشت روز نشستن تو به ملک	فضل آن شب که داشت پیغمبر
بهر آتشکده که در گیتی است	راست چون یخ فسرده شد اخگر
شد سیه روی صورت مانی	شد نگون فرق لعبت آذر
شادباش ای ملوک را مخدوم	دیر زی ای زمانه را داور
ملک در جمله آن مراد بیافت	که همی بودش از فلک برتر
نه عجب گر ز فر دولت تو	جان پذیرد همی نبات و حجر
حرکت گیرد و بصر یابد	پنجه سرو و دیده عبهر
داند ایزد که زود خواهی دید	باختر زان خویش چون خاور
هفت کشور گرفته و بسزا	بنده ای را سپرده هر کشور
تو در آن هفته چون مه و خورشید	کرده و ساخته مسیر و ممر
گفت احوال تو فلک پیمای	کرد احکام تو ستاره شمر
تا ابد خسروی تو خواهی کرد	از چنین ملک خسروا برخور
ملکا حال خویش خواهم گفت	نیک دانم که آیدت باور
در جهان هیچ گوی نشنیدست	آنچه دیدست چشم من ز عبر
سالها بوده ام چنان که بود	بچه شیر خواره بی مادر
گه بزاری نشسته ام گریان	خان های ز سمج مظلم تر
گه به سختی کشیده ام نالان	بندهای گرانتر از لنگر
گهی آن کرد بر دلم تیمار	که کند زخم زخمه بر مزمر
خاطرم گاهی از عنا آن دید	گه به تف عود بیند از مجمر
چه حکایت کنم که می بودم	زآتش و خاک بالش و بستر
غرقه روی و رنج راحت و خشک	تشنه کور و چشم انده تر
بر سر کوههای بی فریاد	شد جوانی من هبا و هدر
شعر من باده شد به هر محفل	ذکر من تازه شد به هر محضر
عفو سلطان نامدار رضی	بر شب من فکند نور قمر
التفات عنایتش برداشت	بار رنج از تن من مضطر
اصطباع رعایتش دریافت	روزگار مرا به حسن نظر
داد نان پاره ای که هست کفاف	مر مرا با عشیرتی بی مر
سوی مولد کشید هوش مرا	بویه دختر و هوای پسر
چون به هندوستان شدم ساکن	بر ضیاع عقار پیر پدر
بنده بونصر برگماشت مرا	به عمل همچو نایبان دگر
نایبی نیستم چنانکه مرا	سازی و آلتی بود در خور
مردکی چند هست بس لتره	اسبکی چند هست بس لاغر
گاه طبلی زنم به زیر گلیم	گه تیغی کشم به زیر سپر
گه جهم همچو رنگ بر کهسار	گه خزم همچو مار در کردر
این همه هست و شغل های عمل	سخت با نظم و رونق است اندر
حشمت عالی علایی تو	در جهان خود همی کشد لشکر
کبک و شاهین همی پرد همبال	شیر و آهو همی رود همبر
سرکشان را کجاست آن یارا	که برآرند بر خلاف تو سر
گردنان را کجاست زهره آنک	پای عصیان برون نهند از در
گر ز مدح تو حال و جاه مرا	مستزادی بود عجب مشمر
ور وجیهی شوم ز خدمت تو	راست باشد ز مقتضای هنر
من شنیدم که میر ماضی را	بنده بود والی لوکر
بس شگفتی نباشد ار باشد	مادحت قهرمان چالندر
تا رساند به جشن هر نظمی	نقش کرده ز مدح یک دفتر
سازد از طبع درج های ثنا	قیمتی تر ز درج های درر
لیکن از بس که دید شعبدها	گام ننهد همی مگر به حذر
ترسد از عاقبت که دانستست	عادت عرف گنبد اخضر
دشمنان دارد و عجب نبود	دشمن آمد تمام را ابتر
باز چون نیک تر در اندیشه	نهراسد ز هیچ نوع ضرر
که دل و طبع تو ز رحمت و عفو	آفریدست خالق اکبر
تا هیولی است اصل هر عنصر	تا بود عنصر اصل هر پیکر
اصل ملک تو باد ثابت فرع	فرع اصل تو باد نافع بر
امرهای زمانه وصف تو را	مهر همراه و مشتری همبر
بزم های سپهر نعت تو را	ماه ساقی و زهره خنیاگر
