کنون پرشگفتی یکی داستان	بپیوندم از گفتهٔ باستان
ابر آفریننده کرد آفرین	بمالید رخسارگان بر زمین
همی گفت کای برتر از جایگاه	ز روشن روان و ز خورشید و ماه
گرین کودک از پاک پشت منست	نه از تخم بد گوهر آهرمنست
از این بر شدن بنده را دست گیر	مرین پر گنه را تو اندرپذیر
چنین گفت سیمرغ با پور سام	که ای دیده رنج نشیم و کنام
پدر سام یل پهلوان جهان	سرافرازتر کس میان مهان
بدین کوه فرزند جوی آمدست	ترا نزد او آب روی آمدست
روا باشد اکنون که بردارمت	بی‌آزار نزدیک او آرمت
به سیمرغ بنگر که دستان چه گفت	که سیر آمدستی همانا ز جفت
نشیم تو رخشنده گاه منست	دو پر تو فر کلاه منست
چنین داد پاسخ که گر تاج و گاه	ببینی و رسم کیانی کلاه
مگر کاین نشیمت نیاید به کار	یکی آزمایش کن از روزگار
ابا خویشتن بر یکی پر من	خجسته بود سایهٔ فر من
گرت هیچ سختی بروی آورند	ور از نیک و بد گفت‌وگوی آورند
برآتش برافگن یکی پر من	ببینی هم اندر زمان فر من
که در زیر پرت بپرورده‌ام	ابا بچگانت برآورده‌ام
همان گه بیایم چو ابر سیاه	بی‌آزارت آرم بدین جایگاه
فرامش مکن مهر دایه ز دل	که در دل مرا مهر تو دلگسل
دلش کرد پدرام و برداشتش	گرازان به ابر اندر افراشتش
ز پروازش آورد نزد پدر	رسیده به زیر برش موی سر
تنش پیلوار و به رخ چون بهار	پدر چون بدیدش بنالید زار
فرو برد سر پیش سیمرغ زود	نیایش همی بفرین برفزود
سراپای کودک همی بنگرید	همی تاج و تخت کئی را سزید
برو و بازوی شیر و خورشید روی	دل پهلوان دست شمشیر جوی
سپیدش مژه دیدگان قیرگون	چو بسد لب و رخ به مانند خون
دل سام شد چون بهشت برین	بران پاک فرزند کرد آفرین
به من ای پسر گفت دل نرم کن	گذشته مکن یاد و دل گرم کن
منم کمترین بنده یزدان پرست	ازان پس که آوردمت باز دست
پذیرفته‌ام از خدای بزرگ	که دل بر تو هرگز ندارم سترگ
بجویم هوای تو ازنیک و بد	ازین پس چه خواهی تو چونان سزد
تنش را یکی پهلوانی قبای	بپوشید و از کوه بگزارد پای
فرود آمد از کوه و بالای خواست	همان جامهٔ خسرو آرای خواست
سپه یکسره پیش سام آمدند	گشاده دل و شادکام آمدند
تبیره‌زنان پیش بردند پیل	برآمد یکی گرد مانند نیل
خروشیدن کوس با کرنای	همان زنگ زرین و هندی درای
سواران همه نعره برداشتند	بدان خرمی راه بگذاشتند
چو اندر هوا شب علم برگشاد	شد آن روی رومیش زنگی نژاد
بران دشت هامون فرود آمدند	بخفتند و یکبار دم بر زدند
چو بر چرخ گردان درفشنده شید	یکی خیمه زد از حریر سپید
به شادی به شهر اندرون آمدند	ابا پهلوانی فزون آمدند
